CASEID,DOBM,DOBY,IDATMM,IDATYY,CASE,RESPID,NUMUNION,NUMMAR,NUMCOHMR,HOWBEG01,HOWEND01,COHMAR01,BEGDAT01,BEGFLG01,ENDDAT01,ENDFLG01,MARDAT01,MARFLG01,SEPDAT01,SEPFLG01,DIVDAT01,DIVFLG01,WIDDAT01,WIDFLG01,COHDAT01,COHFLG01,HOWBEG02,HOWEND02,COHMAR02,BEGDAT02,BEGFLG02,ENDDAT02,ENDFLG02,MARDAT02,MARFLG02,SEPDAT02,SEPFLG02,DIVDAT02,DIVFLG02,WIDDAT02,WIDFLG02,COHDAT02,COHFLG02,HOWBEG03,HOWEND03,COHMAR03,BEGDAT03,BEGFLG03,ENDDAT03,ENDFLG03,MARDAT03,MARFLG03,SEPDAT03,SEPFLG03,DIVDAT03,DIVFLG03,WIDDAT03,WIDFLG03,COHDAT03,COHFLG03,HOWBEG04,HOWEND04,COHMAR04,BEGDAT04,BEGFLG04,ENDDAT04,ENDFLG04,MARDAT04,MARFLG04,SEPDAT04,SEPFLG04,DIVDAT04,DIVFLG04,WIDDAT04,WIDFLG04,COHDAT04,COHFLG04,HOWBEG05,HOWEND05,COHMAR05,BEGDAT05,BEGFLG05,ENDDAT05,ENDFLG05,MARDAT05,MARFLG05,SEPDAT05,SEPFLG05,DIVDAT05,DIVFLG05,WIDDAT05,WIDFLG05,COHDAT05,COHFLG05,HOWBEG06,HOWEND06,COHMAR06,BEGDAT06,BEGFLG06,ENDDAT06,ENDFLG06,MARDAT06,MARFLG06,SEPDAT06,SEPFLG06,DIVDAT06,DIVFLG06,WIDDAT06,WIDFLG06,COHDAT06,COHFLG06,HOWBEG07,HOWEND07,COHMAR07,BEGDAT07,BEGFLG07,ENDDAT07,ENDFLG07,MARDAT07,MARFLG07,SEPDAT07,SEPFLG07,DIVDAT07,DIVFLG07,WIDDAT07,WIDFLG07,COHDAT07,COHFLG07,HOWBEG08,HOWEND08,COHMAR08,BEGDAT08,BEGFLG08,ENDDAT08,ENDFLG08,MARDAT08,MARFLG08,SEPDAT08,SEPFLG08,DIVDAT08,DIVFLG08,WIDDAT08,WIDFLG08,COHDAT08,COHFLG08,HOWBEG09,HOWEND09,COHMAR09,BEGDAT09,BEGFLG09,ENDDAT09,ENDFLG09,MARDAT09,MARFLG09,SEPDAT09,SEPFLG09,DIVDAT09,DIVFLG09,WIDDAT09,WIDFLG09,COHDAT09,COHFLG09,HOWBEG10,HOWEND10,COHMAR10,BEGDAT10,BEGFLG10,ENDDAT10,ENDFLG10,MARDAT10,MARFLG10,SEPDAT10,SEPFLG10,DIVDAT10,DIVFLG10,WIDDAT10,WIDFLG10,COHDAT10,COHFLG10,DUPFLG,M2CP01,M2DP01,BKMK2,CHKPTM,birth_month,M499A,M528,M535,M536,M537,M538,M583A,M583B,M583C,M584,E904,E1006,E1341,SAMWT,MARCOHAB,CURMARCO,coh_t,mar_t,weeks,hours,work,married,cohab,state,unil,eq,birth,age_eq,age_uni
40,4,52,1,2002,590,R,2,2,0,mar,div,did not cohab,868,Mo and yr given,1091,Mo and yr given,868,Mo and yr given,1042,Mo and yr given,1091,Mo and yr given,,,,,mar,intact,No,1095,Mo and yr given,0,Mo and yr given,1095,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,SEPARATED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,628,California,YES,95,INAPPLICABLE,NO,60,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-SEPARATD,INAPPLICABLE,0,1,1,60,60,0,0,California,1970,0,1952,,18
53,3,47,4,2002,739,R,2,2,0,mar,div,did not cohab,786,Mo and yr given,906,Mth alloc midyr,786,Mo and yr given,850,Mo and yr given,906,Mth alloc midyr,,,,,mar,intact,No,912,Mo and yr given,0,Mo and yr given,912,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,567,New Jersey,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,0,52,NO,INAPPLICABLE,YES,YES,147000,MARRIED/LIVE W/SP,912,0,1,0,0,0,1,0,New Jersey,0,1974,1947,27,
62,4,53,8,2002,864,R,1,1,0,mar,intact,did not cohab,947,Mo and yr given,0,Mo and yr given,947,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,676,Nigeria,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,52,0,NO,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,947,0,1,1,0,0,1,0,Nigeria,0,0,1956,,
64,8,51,12,2002,902,R,4,2,1,mar,div,did not cohab,848,Mo and yr given,993,Mo and yr given,848,Mo and yr given,966,Mo and yr given,993,Mo and yr given,,,,,coh,sep,No,993,Mo and yr given,1031,Mo and yr given,0,Mo and yr given,1031,Mo and yr given,,,,,993,Mo and yr given,coh,sep,Yes,1035,Mo and yr given,1201,Mo and yr given,1041,Mo and yr given,1201,Mo and yr given,,,,,1035,Mo and yr given,coh,intact,No,1201,Mo and yr given,0,Mo and yr given,0,Mo and yr given,0,Mo and yr given,,,,,1201,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,620,Pennsylvania,YES,46,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,1041,1,1,1,46,46,1,0,Pennsylvania,0,1980,1952,28,
72,2,54,7,2002,973,R,3,3,2,mar,div,did not cohab,871,Mo and yr given,931,Mo and yr given,871,Mo and yr given,925,Mo and yr given,931,Mo and yr given,,,,,coh,div,Yes,982,Mo and yr given,1002,Mo and yr given,989,Mo and yr given,999,Mo and yr given,1002,Mo and yr given,,,982,Mo and yr given,coh,div,Yes,1053,Mo and yr given,1220,Mo and yr given,1085,Mo and yr given,1220,Mo and yr given,1220,Mo and yr given,,,1053,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,DIVORCED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,650,Oregon,YES,30,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-DIVORCED,INAPPLICABLE,1,1,1,30,30,0,0,Oregon,1971,1971,1954,17,17
79,7,54,7,2001,1043,R,2,1,1,coh,sep,did not cohab,843,Mo and yr given,847,Mo and yr given,0,Mo and yr given,847,Mo and yr given,,,,,843,Mo and yr given,coh,div,Yes,1110,Mo and yr given,1202,Mo and yr given,1134,Mo and yr given,1195,Mo and yr given,1202,Mo and yr given,,,1110,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,655,Colorado,YES,40,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,NO,98000,NOT COHAB-NVR MRRD,INAPPLICABLE,1,0,1,40,40,0,0,Colorado,1972,1972,1955,17,17
80,7,51,4,2002,1048,R,1,1,0,mar,intact,did not cohab,872,Mo and yr given,0,Mo and yr given,872,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,619,Illinois,NO,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,25,0,27,NO,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,872,0,1,.48076922,0,0,1,0,Illinois,0,1977,1952,25,
88,1,51,2,2002,1093,R,2,1,0,mar,wid,did not cohab,891,Mo and yr given,1143,Mo and yr given,891,Mo and yr given,0,Mo and yr given,,,1143,Mth and yr given,,,coh,intact,No,1224,Mo and yr given,0,Mo and yr given,0,Mo and yr given,0,Mo and yr given,,,,,1224,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,613,Maine,YES,40,INAPPLICABLE,NO ANSWER,NO ANSWER,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,891,0,1,1,40,40,1,0,Maine,1973,1972,1951,21,22
101,8,50,3,2002,1216,R,4,3,1,coh,sep,did not cohab,853,Mo and yr given,870,Mo and yr given,0,Mo and yr given,870,Mo and yr given,,,,,853,Mo and yr given,mar,div,No,909,Mo and yr given,932,Mo and yr given,909,Mo and yr given,922,Mo and yr given,932,Mo and yr given,,,,,coh,div,Yes,853,Mo and yr given,996,Mo and yr given,934,Mo and yr given,989,Mo and yr given,996,Mo and yr given,,,853,Mo and yr given,mar,div,No,998,Mo and yr given,1096,Mo and yr given,998,Mo and yr given,1093,Mo and yr given,1096,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,repeated begdat,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,608,Florida,YES,30,INAPPLICABLE,YES,INAPPLICABLE,50,0,2,INAPPLICABLE,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,998,1,1,.96153843,30,28.846153,1,0,Florida,1971,1980,1951,29,20
103,11,51,7,2001,1224,R,2,2,2,coh,div,cohab,900,Mo and yr given,961,Mo and yr given,932,Mo and yr given,958,Mo and yr given,961,Mo and yr given,,,900,Mo and yr given,coh,intact,Yes,976,Mo and yr given,0,Mo and yr given,992,Mo and yr given,0,Mo and yr given,,,,,976,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,FEMALE,COHAB NOT CIRCLED,YES,623,North Carolina,YES,25,INAPPLICABLE,YES,INAPPLICABLE,15,0,37,INAPPLICABLE,YES,INAPPLICABLE,YES,98000,MARRIED/LIVE W/SP,992,1,1,.28846154,25,7.2115383,1,0,North Carolina,0,1981,1952,29,
109,12,49,4,2002,1282,R,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,NEVER MARRIED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,600,Alabama,YES,34,INAPPLICABLE,NO,40,42,10,0,INAPPLICABLE,INAPPLICABLE,NO,NO,73500,NOT COHAB-NVR MRRD,INAPPLICABLE,0,0,1,40,40,0,0,Alabama,1971,1984,1950,34,21
111,12,51,12,2001,1309,R,3,2,1,mar,div,did not cohab,876,Mo and yr given,936,Mo and yr given,876,Mo and yr given,929,Mo and yr given,936,Mo and yr given,,,,,coh,wid,Yes,993,Mo and yr given,1036,Mo and yr given,1005,Mo and yr given,0,Mo and yr given,,,1036,Mth and yr given,993,Mo and yr given,coh,sep,No,1063,Mo and yr given,1112,Mo and yr given,0,Mo and yr given,1112,Mo and yr given,,,,,1063,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,WIDOWED,FEMALE,COHAB NOT CIRCLED,INAPPLICABLE,624,Pennsylvania,YES,36,INAPPLICABLE,NO,24,32,0,20,INAPPLICABLE,INAPPLICABLE,NO,NO,49000,NOT COHAB-WIDOWED,INAPPLICABLE,1,1,.61538464,24,14.769232,0,0,Pennsylvania,0,1980,1952,28,
120,6,50,1,2002,1391,R,2,1,0,coh,sep,did not cohab,906,Mth alloc midyr,919,Mo alloc from season,0,Mo and yr given,919,Mo alloc from season,,,,,906,Mth alloc midyr,mar,div,No,926,Mo and yr given,1108,Mo and yr given,926,Mo and yr given,1086,Mo and yr given,1108,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,606,Vermont,NO,NONE,NO,INAPPLICABLE,INAPPLICABLE,22,30,0,NO,INAPPLICABLE,YES,YES,98000,MARRIED/LIVE W/SP,926,1,1,1,0,0,1,0,Vermont,0,1927,1951,-24,
123,11,50,2,2002,1400,R,2,2,0,mar,wid,did not cohab,896,Mo and yr given,1082,Mo and yr given,896,Mo and yr given,0,Mo and yr given,,,1082,Mth and yr given,,,mar,intact,No,1111,Mo and yr given,0,Mo and yr given,1111,Mo and yr given,0,Mo and yr given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no dup,MARRIED,MALE,COHAB NOT CIRCLED,YES,611,New York,YES,45,INAPPLICABLE,YES,INAPPLICABLE,52,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,INAPPLICABLE,YES,YES,196000,MARRIED/LIVE W/SP,896,0,1,1,45,45,1,0,New York,0,1980,1951,29,
